col1,col2,col3,col4,Lon,Lat,col7,col8,col9,col10,col11
9,新台高速,17,台城站,112.8293,22.2537,,,,,
9,新台高速,19,冲篓站,112.8235,22.1597,,,,,
9,新台高速,21,斗山站,112.8596,22.0573,,,,,
10,揭普高速,3,锡场,116.3037361,23.6117459,,,,,
10,揭普高速,5,霖磐,116.251125,23.55757,,,,,
10,揭普高速,7,赤岗,116.187016,23.43529,,,,,
10,揭普高速,9,泥沟,116.140925,23.3352117,,,,,
11,普惠高速,3,池尾,116.110268,23.2784287,,,,,
11,普惠高速,5,高柏,115.996162,23.136954,,,,,
11,普惠高速,7,葵潭,115.9608,23.0667,,,,,
11,普惠高速,9,东港,115.9658068,22.97078946,,,,,
12,汕汾高速,3,海湾大桥,116.743,23.3286,,,,,
12,汕汾高速,5,汕头,116.7586017,23.35540833,,,,,
12,汕汾高速,7,外砂,116.7380133,23.4334514,,,,,
12,汕汾高速,9,湖心,116.7260667,23.4890262,,,,,
12,汕汾高速,11,店市,116.7324993,23.56545789,,,,,
12,汕汾高速,13,潮州,116.748095,23.632825,,,,,
12,汕汾高速,15,钱东,116.8988864,23.68778776,,,,,
12,汕汾高速,17,黄冈,116.9834877,23.70324501,,,,,
12,汕汾高速,19,粤闽主线,116.9792838,23.70476989,,,,,
13,深汕东,5,陆丰,115.652357,22.961395,,,,,
13,深汕东,7,霞湖,115.65239,22.961071,,,,,
13,深汕东,9,内湖,115.836842,22.963759,,,,,
13,深汕东,11,东港,115.96521,22.968206,,,,,
13,深汕东,13,隆江,116.138019,23.00402,,,,,
13,深汕东,15,惠来,116.275014,23.035646,,,,,
13,深汕东,17,仙庵,116.504012,23.072873,,,,,
13,深汕东,19,田心,116.52671,23.108442,,,,,
13,深汕东,21,海门,116.621715,23.215465,,,,,
13,深汕东,23,河浦,116.67088,23.251929,,,,,
13,深汕东,25,达濠,116.698634,23.293255,,,,,
13,深汕东,27,汕头,116.7345,23.315,,,,,
14,广贺高速,3,怀集南,112.1773,23.8653,,,,,
14,广贺高速,5,古水,112.2739,23.6567,,,,,
14,广贺高速,7,广宁,112.401,23.5562,,,,,
14,广贺高速,9,宾亨,112.4386,23.5125,,,,,
14,广贺高速,11,黄田,112.538,23.428,,,,,
14,广贺高速,13,四会西,112.6475,23.3849,,,,,
14,广贺高速,15,大旺,112.8014,23.264,,,,,
14,广贺高速,17,唐家,112.8465,23.2042,,,,,
15,西部沿海,5,东城,112.0365142822,21.8935376969,,,,,
15,西部沿海,7,雅韶,112.063164711,21.829412744,,,,,
15,西部沿海,11,三山,112.215256691,21.833974134,,,,,
15,西部沿海,15,北陡,112.391284,21.897048,,,,,
15,西部沿海,19,汶村,112.4874043465,21.8689266794,,,,,
15,西部沿海,21,海宴,112.5529146194,21.8330180468,,,,,
15,西部沿海,23,沙栏,112.6324903965,21.8493304079,,,,,
15,西部沿海,25,上川,112.6994919777,21.8883410638,,,,,
15,西部沿海,27,广海,112.7786922455,21.973732936,,,,,
15,西部沿海,29,南北,112.8666472435,22.0007530567,,,,,
15,西部沿海,31,都斛,112.9425644875,22.0799929684,,,,,
15,西部沿海,33,崖南,113.066615,22.198996,,,,,
15,西部沿海,35,金门,113.104077,22.223099,,,,,
16,广明高速,3,金白,112.8964,22.9797,,,,,
16,广明高速,5,荷城,112.8486,22.9613,,,,,
16,广明高速,7,沧江,112.7666,22.9397,,,,,
16,广明高速,9,明城,112.6673,22.8712,,,,,
16,广明高速,13,更合东,112.5666,22.7884,,,,,
16,广明高速,15,更合西,112.464,22.7505,,,,,
17,广惠高速,3,萝岗站,113.48938,23.19505,,,,,
17,广惠高速,5,永和站,113.59262,23.16385,,,,,
17,广惠高速,7,仙村站,113.72056,23.19725,,,,,
17,广惠高速,9,三江站,113.8544,23.2064,,,,,
17,广惠高速,11,石湾站,113.9108,23.2016,,,,,
17,广惠高速,12,园洲站,113.971,23.1891,,,,,
17,广惠高速,13,长宁站,114.0416,23.1927,,,,,
17,广惠高速,15,龙溪站,114.1322,23.1625,,,,,
17,广惠高速,17,博罗站,114.1884,23.1591,,,,,
17,广惠高速,18,小金口匝,114.3814,23.2041,,,,,
17,广惠高速,19,小金口主,114.3814,23.2041,,,,,
17,广惠高速,21,汝湖站,114.4598,23.1911,,,,,
17,广惠高速,23,蓬陵站,114.5691,23.1516,,,,,
17,广惠高速,25,乌塘站,114.6317,23.0376,,,,,
17,广惠高速,27,白花站,114.6542,22.9452,,,,,
17,广惠高速,29,凌坑站,114.67443,22.8697,,,,,
18,惠盐深圳,5,富地岗,114.3205597,22.76752097,,,,,
18,惠盐深圳,7,龙岗,114.2973804474,22.7192694502,,,,,
18,惠盐深圳,9,荷坳,114.2284355,22.68647032,,,,,
19,惠盐惠州,2,平南,114.3424201012,23.0047178283,,,,,
19,惠盐惠州,3,白云前,114.3816937,23.04727639,,,,,
19,惠盐惠州,5,伯公坳,114.3200257,22.97741226,,,,,
19,惠盐惠州,6,镇隆,114.3155067,22.96995667,,,,,
19,惠盐惠州,7,新墟,114.3361277,22.86929111,,,,,
19,惠盐惠州,9,坑塘径,-1,-1,,,,,
20,开阳高速,3,水口,112.7617,22.4715,,,,,
20,开阳高速,4,开平,112.6599884033,22.44264515,,,,,
20,开阳高速,5,沙塘,112.6190900803,22.4336012288,,,,,
20,开阳高速,7,塘口,112.5623559952,22.3889481518,,,,,
20,开阳高速,9,沙湖,112.4512910843,22.34977812,,,,,
20,开阳高速,11,圣堂,112.3845148087,22.3108154398,,,,,
20,开阳高速,13,恩城,112.3033,22.2425,,,,,
20,开阳高速,15,大槐,112.2393107414,22.1217629983,,,,,
20,开阳高速,17,那龙,112.1828341484,22.0102427026,,,,,
20,开阳高速,19,北惯,112.1007585526,21.9693352132,,,,,
20,开阳高速,22,阳江,111.9679,21.9129,,,,,
20,开阳高速,23,白沙,111.8573963642,21.8995305137,,,,,
21,茂湛高速,3,林头,111.0947,21.6453,,,,,
21,茂湛高速,5,茂名,110.9636306763,21.6190529361,,,,,
21,茂湛高速,7,鳌头站,110.86524,21.58432,,,,,
21,茂湛高速,9,浅水,110.7264021,21.5681997,,,,,
21,茂湛高速,11,杨梅站,110.624256134,21.5344478053,,,,,
21,茂湛高速,13,塘缀,110.5235981941,21.4767723181,,,,,
21,茂湛高速,15,官渡,110.4128980637,21.4110035807,,,,,
21,茂湛高速,17,源水,110.2801179886,21.3460646127,,,,,
22,江鹤一期,1,龙湾,113.0478572845,22.5694358264,,,,,
22,江鹤一期,2,杜阮,112.9987943172,22.59340909,,,,,
22,江鹤一期,3,共和匝,112.8883,22.5901,,,,,
22,江鹤一期,4,共和主,22.5901,112.8883,,,,,
22,江鹤一期,5,蓬江,113.0273,22.5877,,,,,
23,广三高速,2,上亨,113.122959,23.13213661,,,,,
23,广三高速,3,松岗,113.1051921844,23.1302769181,,,,,
23,广三高速,4,狮山,113.0009937286,23.1376765052,,,,,
23,广三高速,5,狮中,112.9536151886,23.1436748041,,,,,
23,广三高速,6,狮岭,112.9301129,23.15375549,,,,,
23,广三高速,7,三水,112.8979623,23.17423669,,,,,
23,广三高速,8,云东海,112.8806867,23.18330667,,,,,
24,盐坝高速,3,盐田站,114.2653870583,22.5886543942,,,,,
24,盐坝高速,5,大梅沙,114.2963075638,22.6023633214,,,,,
24,盐坝高速,7,小梅沙,114.324589,22.605295,,,,,
24,盐坝高速,9,溪涌站,114.357548,22.613694,,,,,
24,盐坝高速,11,土洋站,114.397373,22.615754,,,,,
24,盐坝高速,13,葵涌站,114.4201,22.6226,,,,,
24,盐坝高速,15,坝岗站,114.496422,22.659799,,,,,
25,莞深高速,4,大坪站,114.0372,22.7774,,,,,
25,莞深高速,7,黄江站,113.9813,22.8595,,,,,
25,莞深高速,9,大朗站,113.9131,22.9045,,,,,
