gid,osm_id,source,x1,y1,target,x2,y2,length_m
362312,332158146,329544,113.7186963,23.5795457,294838,113.7189024,23.582779,359.536243864577
362313,332158148,305406,113.7484225,23.5078091,334354,113.7456575,23.5122334,569.162887532814
362314,332158149,305678,113.750321,23.4997651,305406,113.7484225,23.5078091,915.320456543136
362315,332158152,322394,113.7482304,23.507972,266027,113.7502105,23.4997635,935.210761418209
362316,332158153,334354,113.7456575,23.5122334,327177,113.7407637,23.5157,636.664408324292
362317,332158162,263712,115.7300519,24.8564579,261187,115.7339259,24.8657961,1115.25181487553
362318,332158163,266052,115.5899248,25.1684647,321741,115.5681736,25.171515,2241.01048103234
362319,332158164,323225,115.7574037,25.0930531,294468,115.7562744,25.0932282,410.960447457549
362320,332158166,320755,115.7502298,24.9598324,317366,115.7559057,24.9504935,1190.72095946695
362321,332158167,313722,115.4438643,25.197866,277928,115.4168726,25.1906123,2870.0197042717
362322,332158168,266812,115.756036,24.9505138,320262,115.7503317,24.9598721,1193.39182313147
362323,332158169,303096,115.7561275,25.2667315,323121,115.7575796,25.2643836,350.832464071629
362324,332158170,314023,115.7581266,25.0938035,266786,115.7585802,25.0937393,370.111645486008
362325,332158171,290860,115.4171097,25.1903395,292782,115.4439116,25.1972981,2855.78426880317
362326,332158172,268987,115.5468553,25.1743124,262505,115.5304961,25.1795718,1901.56265692986
362327,332158173,269331,115.3117167,25.1620286,285894,115.3269673,25.1645506,1597.62240809882
362328,332158174,271834,115.4007257,25.1878812,283363,115.41175,25.1890775,1144.00086400768
362329,332158175,288200,115.5303618,25.1795402,322492,115.5475038,25.1738432,1991.16316276226
362330,332158176,303437,115.3269773,25.1646765,265363,115.3117622,25.1621383,1594.03225601422
362332,332158178,307817,115.7261462,25.1018629,288150,115.7224336,25.1011387,641.921081415927
362333,332158179,285958,115.7523961,24.9817859,260573,115.7519218,24.9808439,379.616597212222
362334,332158180,259720,115.7570247,25.0935063,323225,115.7574037,25.0930531,437.588344543695
362335,332158180,323225,115.7574037,25.0930531,261853,115.7581892,25.0885846,503.075295313553
362336,332158181,287402,115.7573447,24.9060594,286728,115.742966,24.8914138,2224.31916421344
362337,332158182,288150,115.7224336,25.1011387,305565,115.7305542,25.0967383,1070.51690239805
362338,332158183,296868,115.7557549,25.0305508,333736,115.7526964,25.0208206,1151.70443362692
362339,332158184,305565,115.7305542,25.0967383,323486,115.7227257,25.1004682,976.981252273314
362340,332158185,323486,115.7227257,25.1004682,312491,115.7227864,25.1021371,545.683378339898
362341,332158186,309423,115.7586265,25.0935673,326907,115.7636186,25.0941447,507.615210643144
362342,332158186,326907,115.7636186,25.0941447,290231,115.7843599,25.0996232,2194.54718340676
362343,332158187,322559,115.8083178,25.0994372,269505,115.8060759,25.0995379,226.549532802731
362344,332158188,304315,115.7430561,24.8913631,303866,115.7574541,24.9059604,2218.7346752845
362345,332158189,305447,115.3692612,25.1819577,272159,115.3461101,25.1742907,2545.62457918789
362346,332158190,277187,115.7590934,24.9098832,320812,115.7592608,24.9107168,93.8749882398227
362348,332158194,286728,115.742966,24.8914138,280581,115.742845,24.8908602,62.5297921248103
362349,332158195,266786,115.7585802,25.0937393,259720,115.7570247,25.0935063,159.017315631563
362350,332158196,305375,115.2708411,25.1561806,329344,115.2701295,25.1554635,107.040171706507
362351,332158198,268769,115.3293214,25.1648113,303437,115.3269773,25.1646765,236.791902393788
362352,332158200,307738,115.7190434,24.8188457,316912,115.719111,24.8190781,26.6347125283996
362353,332158201,294100,115.5033147,25.1993983,318744,115.5005789,25.1988883,281.460727854948
362354,332158202,299877,115.2658967,25.1507987,325973,115.2705296,25.1553316,685.805822514998
362355,332158203,297397,115.7570579,25.0933451,309423,115.7586265,25.0935673,160.133338977586
362356,332158204,309230,115.2819476,25.1603556,312160,115.2826586,25.1604236,72.0767591957888
362357,332158205,297197,115.5293597,25.1816715,288200,115.5303618,25.1795402,256.797760098779
362358,332158206,335447,115.7188769,24.8182726,307738,115.7190434,24.8188457,65.6761563847681
362361,332158209,312491,115.7227864,25.1021371,274685,115.7220902,25.1021224,70.2421230557065
362362,332158212,281548,115.7501346,24.9602673,320755,115.7502298,24.9598324,49.1247237121867
362363,332158213,316880,115.7190166,24.8110822,289467,115.7193381,24.810411,81.1438827992828
362364,332158214,305017,115.2953323,25.1642607,269506,115.2937628,25.1635142,178.536009115763
362365,332158215,299188,115.7558799,25.0305506,281622,115.7555419,25.0330508,279.048438402951
362366,332158216,292782,115.4439116,25.1972981,316041,115.4553289,25.1986276,1160.11023867185
362367,332158217,329344,115.2701295,25.1554635,296444,115.2659493,25.1513137,623.661006704576
362368,332158218,285679,115.2938265,25.1634126,286595,115.2953925,25.1641574,178.136177420979
362369,332158220,333464,115.3841617,25.184871,314878,115.3813579,25.183609,315.306151585191
362370,332158222,310959,115.7220921,25.1020131,285724,115.7227963,25.1020149,71.0305241475255
362371,332158224,307860,115.334526,25.1662497,293289,115.333652,25.1658856,96.9040646831422
362372,332158226,321092,115.5006742,25.1985194,318168,115.5036772,25.1991173,309.825708418293
362373,332158227,272587,115.2826431,25.1605395,298490,115.2819547,25.1604737,69.7851998624408
362374,332158229,274177,115.5166465,25.1944434,260863,115.5190711,25.1930614,288.371254386749
362375,332158230,326095,115.3336867,25.1657957,302629,115.3345707,25.1661418,97.0165668568402
362376,332158231,291082,115.4549903,25.1990377,313722,115.4438643,25.197866,1128.84678946828
362377,332158232,262505,115.5304961,25.1795718,263019,115.5294874,25.1817209,258.872347343984
362378,332158233,285894,115.3269673,25.1645506,294478,115.3293561,25.16469,241.321847083907
362380,332158243,316272,115.3461879,25.1742205,304363,115.3692216,25.1817173,2527.73985872443
362381,332158246,303096,115.7561275,25.2667315,314454,115.7581815,25.2657179,656.227473723373
362382,332158247,261126,115.7525661,25.0928076,307817,115.7261462,25.1018629,2925.19171137535
362383,332158247,307817,115.7261462,25.1018629,312491,115.7227864,25.1021371,340.552561976156
362384,332158249,281242,115.7247588,25.1019076,325576,115.75263,25.0926845,3072.8381081497
362385,332158249,325576,115.75263,25.0926845,294468,115.7562744,25.0932282,372.526128166243
362386,332158249,294468,115.7562744,25.0932282,297397,115.7570579,25.0933451,80.088409699723
362387,332158252,281622,115.7555419,25.0330508,292673,115.7559492,25.057983,2806.71908967424
362388,332158255,280255,115.7256985,24.8457615,296988,115.7195887,24.8210216,2873.53694213308
362389,332158258,325914,113.7179043,23.5794198,266781,113.7198157,23.5759346,587.733319833276
362390,332158258,266781,113.7198157,23.5759346,321803,113.7220743,23.5785329,449.221101368952
362391,332158260,315963,115.7594951,24.9192066,315574,115.7565655,24.9483741,3370.17573675984
362392,332158263,294924,115.3714454,25.1824408,305447,115.3692612,25.1819577,226.791678155561
362393,332158264,296775,115.399156,25.1877809,268592,115.3957474,25.1878604,343.723301246801
362394,332158270,321917,115.7517248,24.991322,313819,115.7511867,24.9937376,273.564611300124
362395,332158271,304363,115.3692216,25.1817173,312769,115.3715408,25.1822251,240.527572349009
362396,332158272,279757,115.7421928,24.8874489,270333,115.7429315,24.8907914,377.780603777283
362397,332158273,322280,115.7554412,25.0330248,296868,115.7557549,25.0305508,275.898076910971
362398,332158275,273175,115.3410925,25.1704181,316272,115.3461879,25.1742205,664.295147513673
362399,332158276,272754,115.3074795,25.164638,285662,115.3061392,25.1653953,159.082616415209
362400,332158277,291724,115.2644644,25.1498485,299877,115.2658967,25.1507987,178.983405413776
362401,332158279,265363,115.3117622,25.1621383,326227,115.3104832,25.1626758,142.10733961343
362402,332158280,296988,115.7195887,24.8210216,301601,115.7193029,24.820004,116.382684394197
362403,332158282,280574,115.3022454,25.1663417,285976,115.3003877,25.1662177,187.944855575158
362404,332158283,316375,115.7187602,24.8182917,308252,115.7183363,24.8165365,199.111807087643
362405,332158284,323787,115.7569681,25.2620393,268705,115.7561408,25.2668031,839.0568126309
362406,332158284,268705,115.7561408,25.2668031,289448,115.754442,25.26626,190.089223775716
362407,332158285,324381,115.589699,25.168261,277270,115.5949748,25.1652361,630.250229286891
362408,332158286,284735,115.3797692,25.1828165,308704,115.3814651,25.1833662,181.629979816627
362409,332158287,330315,115.3060415,25.1653118,329960,115.307407,25.1645414,162.007619538392
362410,332158288,316171,115.4006953,25.1880408,296775,115.399156,25.1877809,158.137270563295
362411,332158289,291544,115.3004106,25.1661026,318789,115.3022416,25.1662247,185.242151581477
362412,332158291,316952,115.72606,24.8465866,280255,115.7256985,24.8457615,98.4338573453583
362413,332158294,297605,115.7518845,24.9822827,285958,115.7523961,24.9817859,75.5866937603252
362414,332158298,270333,115.7429315,24.8907914,304315,115.7430561,24.8913631,64.5674330404785
362415,332158299,294478,115.3293561,25.16469,301785,115.3316307,25.16509,233.867280070896
362416,332158300,316829,115.756444,24.9483578,331233,115.7593598,24.9192254,3364.81512123691
