enter_RoadId,enter_StationId,exit_RoadId,exit_stationId,enter_lat,enter_lon,exit_lat,exit_lon,enter_time,exit_time
34,3,1,34,23.2018483115,113.2581210136,22.590643,113.899411,Mon Jan 04 15:58:00 EST 2016,Mon Jan 04 18:54:00 EST 2016
104,1,1,30,-1.0,-1.0,22.6279945585,113.8518333435,Mon Jan 04 16:00:00 EST 2016,Mon Jan 04 17:37:00 EST 2016
1,37,1,9,22.5373526817,114.0117573738,23.08033,113.59615,Mon Jan 04 16:00:00 EST 2016,Mon Jan 04 17:09:00 EST 2016
6,54,1,24,22.6383,113.44408,22.8021,113.78758,Mon Jan 04 16:01:00 EST 2016,Mon Jan 04 16:58:00 EST 2016
17,17,1,60,23.1591,114.1884,23.1443259191,113.398604393,Mon Jan 04 16:02:00 EST 2016,Mon Jan 04 17:32:00 EST 2016
9,17,1,15,22.2537,112.8293,22.9752063091,113.6992263794,Mon Jan 04 16:02:00 EST 2016,Mon Jan 04 18:42:00 EST 2016
48,9,1,27,22.686845113,113.9702153206,22.6476604205,113.8329291344,Mon Jan 04 16:03:00 EST 2016,Mon Jan 04 18:02:00 EST 2016
1,40,1,15,22.5170962329,114.0595436096,22.9752063091,113.6992263794,Mon Jan 04 16:03:00 EST 2016,Mon Jan 04 16:54:00 EST 2016
48,9,1,27,22.686845113,113.9702153206,22.6476604205,113.8329291344,Mon Jan 04 16:05:00 EST 2016,Mon Jan 04 17:59:00 EST 2016
4,15,1,16,23.07396711,113.1010609,22.9752063091,113.6992263794,Mon Jan 04 16:05:00 EST 2016,Mon Jan 04 17:30:00 EST 2016
1,16,1,40,22.9752063091,113.6992263794,22.5170962329,114.0595436096,Mon Jan 04 16:05:00 EST 2016,Mon Jan 04 16:59:00 EST 2016
34,1,1,24,23.158038,113.257043,22.8021,113.78758,Mon Jan 04 16:05:00 EST 2016,Mon Jan 04 17:31:00 EST 2016
50,11,1,61,22.7243461922,114.0394377708,23.15549,113.39893,Mon Jan 04 16:06:00 EST 2016,Mon Jan 04 17:36:00 EST 2016
1,62,1,26,23.1399,113.3999,22.73383,113.84667,Mon Jan 04 16:07:00 EST 2016,Mon Jan 04 17:01:00 EST 2016
18,7,1,5,22.7192694502,114.2973804474,23.1474433349,113.516600132,Mon Jan 04 16:07:00 EST 2016,Mon Jan 04 18:16:00 EST 2016
6,11,1,17,22.5213,113.4651,22.92997,113.68343,Mon Jan 04 16:07:00 EST 2016,Mon Jan 04 17:11:00 EST 2016
8,9,1,26,23.02805189,112.5754615,22.73383,113.84667,Mon Jan 04 16:08:00 EST 2016,Mon Jan 04 18:14:00 EST 2016
32,9,1,60,23.1468316958,113.1925463676,23.1443259191,113.398604393,Mon Jan 04 16:10:00 EST 2016,Mon Jan 04 16:53:00 EST 2016
34,1,1,18,23.158038,113.257043,22.9285,113.6815,Mon Jan 04 16:11:00 EST 2016,Mon Jan 04 17:12:00 EST 2016
6,21,1,15,22.7496,113.4821,22.9752063091,113.6992263794,Mon Jan 04 16:13:00 EST 2016,Mon Jan 04 17:19:00 EST 2016
34,1,1,16,23.158038,113.257043,22.9752063091,113.6992263794,Mon Jan 04 16:13:00 EST 2016,Mon Jan 04 17:17:00 EST 2016
85,15,1,24,22.7923,111.6193,22.8021,113.78758,Mon Jan 04 16:13:00 EST 2016,Mon Jan 04 20:22:00 EST 2016
26,11,1,17,22.5938,113.3922,22.92997,113.68343,Mon Jan 04 16:15:00 EST 2016,Mon Jan 04 17:22:00 EST 2016
49,15,1,27,22.68229,114.21988,22.6476604205,113.8329291344,Mon Jan 04 16:15:00 EST 2016,Mon Jan 04 16:56:00 EST 2016
69,17,1,28,24.0811927,115.2309675,22.6476604205,113.8329291344,Mon Jan 04 16:15:00 EST 2016,Mon Jan 04 19:20:00 EST 2016
9,9,1,40,22.5021,112.8295,22.5170962329,114.0595436096,Mon Jan 04 16:15:00 EST 2016,Mon Jan 04 19:16:00 EST 2016
30,6,1,16,23.1377159686,113.3481788635,22.9752063091,113.6992263794,Mon Jan 04 16:16:00 EST 2016,Mon Jan 04 17:15:00 EST 2016
1,17,1,60,22.92997,113.68343,23.1443259191,113.398604393,Mon Jan 04 16:16:00 EST 2016,Mon Jan 04 17:12:00 EST 2016
58,6,1,17,22.847173,113.188553,22.92997,113.68343,Mon Jan 04 16:16:00 EST 2016,Mon Jan 04 17:32:00 EST 2016
3,27,1,12,23.65353224,113.0213961,23.0436023367,113.6457753181,Mon Jan 04 16:18:00 EST 2016,Mon Jan 04 18:00:00 EST 2016
1,25,1,15,22.73598,113.84722,22.9752063091,113.6992263794,Mon Jan 04 16:18:00 EST 2016,Mon Jan 04 17:00:00 EST 2016
32,6,1,16,23.1691251255,113.3222150803,22.9752063091,113.6992263794,Mon Jan 04 16:18:00 EST 2016,Mon Jan 04 17:46:00 EST 2016
35,4,1,27,22.741428,114.359984,22.6476604205,113.8329291344,Mon Jan 04 16:18:00 EST 2016,Mon Jan 04 17:24:00 EST 2016
1,16,1,36,22.9752063091,113.6992263794,22.56433,113.92952,Mon Jan 04 16:18:00 EST 2016,Mon Jan 04 17:03:00 EST 2016
50,11,1,60,22.7243461922,114.0394377708,23.1443259191,113.398604393,Mon Jan 04 16:19:00 EST 2016,Mon Jan 04 17:39:00 EST 2016
14,17,1,34,23.2042,112.8465,22.590643,113.899411,Mon Jan 04 16:19:00 EST 2016,Mon Jan 04 18:37:00 EST 2016
